		easting		northing	elev	log Q	log(Q)	(Q)
		422041.0325	1165511.375	-186 	2.176 	2.176 	150.000 
		422038.9335	1165511.372	-190 	3.000 	3.000 	1000.000 
		422037.4342	1165511.37	-193 	1.201 	1.201 	15.900 
		422036.0348	1165511.368	-196 	2.000 	2.000 	100.000 
		422034.5355	1165511.365	-199 	1.875 	1.875 	75.000 
		422033.0362	1165511.363	-202 	3.000 	3.000 	1000.000 
		422031.5369	1165511.36	-205 	3.000 	3.000 	1000.000 
		422030.0376	1165511.358	-208 	3.000 	3.000 	1000.000 
		422028.5383	1165511.356	-211 	1.427 	1.427 	26.700 
		422027.3388	1165511.354	-214 	1.792 	1.792 	62.000 
		422025.8395	1165511.351	-217 	1.462 	1.462 	29.000 
		422024.79	1165511.35	-219 	1.522 	1.522 	33.300 
		422023.2907	1165511.347	-222 	2.301 	2.301 	200.000 
		422022.0413	1165511.345	-224 	2.301 	2.301 	200.000 
		422020.542	1165511.343	-227 	2.000 	2.000 	100.000 
IBH-04		421669.731	1165384.148	-59 	1.386 	1.386 	24.300 
		421670.9948	1165383.088	-62 	2.000 	2.000 	100.000 
		421672.2585	1165382.029	-65 	1.991 	1.991 	98.000 
		421673.4074	1165381.065	-68 	2.000 	2.000 	100.000 
		421674.5563	1165380.102	-71 	2.000 	2.000 	100.000 
		421675.7052	1165379.139	-74 	1.699 	1.699 	50.000 
		421685.5855	1165370.854	-17 	1.057 	1.057 	11.400 
		421678.0029	1165377.212	-80 	1.394 	1.394 	24.800 
		421679.1518	1165376.249	-83 	1.380 	1.380 	24.000 
		421680.3007	1165375.285	-86 	1.398 	1.398 	25.000 
		421681.4496	1165374.322	-89 	1.013 	1.013 	10.300 
		421682.5984	1165373.359	-92 	1.871 	1.871 	74.300 
		421683.7473	1165372.395	-95 	1.371 	1.371 	23.500 
		421684.8962	1165371.432	-98 	1.371 	1.371 	23.500 
		421686.0451	1165370.469	-101 	1.380 	1.380 	24.000 
		421687.194	1165369.505	-104 	1.380 	1.380 	24.000 
		421688.3428	1165368.542	-107 	1.875 	1.875 	75.000 
		421689.4917	1165367.579	-110 	1.574 	1.574 	37.500 
		421690.6406	1165366.615	-113 	0.799 	0.799 	6.300 
		421691.7895	1165365.652	-116 	1.176 	1.176 	15.000 
		421692.9384	1165364.689	-119 	1.262 	1.262 	18.300 
		421694.0872	1165363.725	-122 	1.991 	1.991 	98.000 
		421695.2361	1165362.762	-125 	1.875 	1.875 	75.000 
		421696.385	1165361.799	-128 	1.207 	1.207 	16.100 
